,Address,latitude,longitude,GeoCode
55,"525 EAST 11TH STREET, New York, NY",40.7282193,-73.9804777,"(-73.980477699999994, 40.728219299999999)"
56,"296 EAST 2ND STREET, New York, NY",40.720588,-73.979395,"(-73.979394999999997, 40.720587999999999)"
57,"277 EAST 7TH STREET, New York, NY",40.7234811,-73.976862,"(-73.976861999999997, 40.723481100000001)"
58,"366 EAST 8TH STREET, New York, NY",40.7241686,-73.9777797,"(-73.977779699999999, 40.724168599999999)"
59,"259 EAST 7TH STREET, New York, NY",40.723717,-73.9775105,"(-73.977510499999994, 40.723717000000001)"
60,"211 EAST 2ND STREET, New York, NY",40.721680799999994,-73.9831751,"(-73.983175099999997, 40.721680799999994)"
61,"227 EAST 7TH STREET, New York, NY",40.724346600000004,-73.97912600000001,"(-73.979126000000008, 40.724346600000004)"
62,"645 EAST 11TH STREET, New York, NY",40.7268114,-73.9774296,"(-73.977429599999994, 40.726811400000003)"
63,"643 EAST 11TH STREET, New York, NY",40.726884999999996,-73.9774703,"(-73.977470299999993, 40.726884999999996)"
64,"509 EAST 6TH STREET, New York, NY",40.7253444,-73.9832095,"(-73.983209500000001, 40.725344399999997)"
65,"517 EAST 11TH STREET, New York, NY",40.7282677,-73.980787,"(-73.980787000000007, 40.728267700000004)"
66,"525 EAST 12TH STREET, New York, NY",40.728772,-73.98,"(-73.980000000000004, 40.728771999999999)"
67,"99 AVENUE B, New York, NY",40.724721200000005,-73.9812783,"(-73.9812783, 40.724721200000005)"
68,"50 AVENUE A, New York, NY",40.7238123,-73.98479350000001,"(-73.984793500000009, 40.723812299999999)"
69,"214 AVENUE A, New York, NY",40.729862100000005,-73.9805184,"(-73.980518399999994, 40.729862100000005)"
70,"438 WEST 20TH STREET, New York, NY",40.74518,-74.004588,"(-74.004587999999998, 40.745179999999998)"
71,"224 WEST 22ND STREET, New York, NY",40.743608,-73.997166,"(-73.997166000000007, 40.743608000000002)"
72,"231 WEST 22ND STREET, New York, NY",40.7439917,-73.99697619999999,"(-73.996976199999992, 40.743991700000002)"
73,"404 WEST 20TH STREET, New York, NY",40.744639899999996,-74.003357,"(-74.003356999999994, 40.744639899999996)"
74,"362 WEST 19TH STREET, New York, NY",40.743754200000005,-74.0028287,"(-74.002828699999995, 40.743754200000005)"
75,"347 WEST 21ST STREET, New York, NY",40.745043100000004,-74.00140520000001,"(-74.001405200000008, 40.745043100000004)"
76,"460 WEST 23RD STREET, New York, NY",40.7472848,-74.00375720000001,"(-74.00375720000001, 40.747284800000003)"
77,"408 WEST 25TH STREET, New York, NY",40.7478785,-74.0011084,"(-74.001108400000007, 40.747878499999999)"
78,"330 WEST 17TH STREET, New York, NY",40.742027,-74.00255,"(-74.002549999999999, 40.742027)"
79,"332 WEST 17TH STREET, New York, NY",40.742062,-74.002628,"(-74.002628000000001, 40.742061999999997)"
80,"310 WEST 18TH STREET, New York, NY",40.742315999999995,-74.0014209,"(-74.001420899999999, 40.742315999999995)"
81,"338 WEST 19TH STREET, New York, NY",40.743385100000005,-74.0020358,"(-74.002035800000002, 40.743385100000005)"
82,"340 WEST 19TH STREET, New York, NY",40.743468799999995,-74.0020817,"(-74.002081700000005, 40.743468799999995)"
83,"360 WEST 20TH STREET, New York, NY",40.744338299999995,-74.0023322,"(-74.002332199999998, 40.744338299999995)"
84,"309 WEST 20TH STREET, New York, NY",40.7438228,-74.0004722,"(-74.000472200000004, 40.743822799999997)"
85,"360 WEST 21 STREET, New York, NY",40.7449034,-74.0022397,"(-74.002239700000004, 40.744903399999998)"
86,"360 WEST 21ST STREET, New York, NY",40.7449034,-74.0022397,"(-74.002239700000004, 40.744903399999998)"
87,"325 WEST 21ST STREET, New York, NY",40.7446575,-74.0006591,"(-74.000659099999993, 40.744657500000002)"
88,"333 WEST 21ST STREET, New York, NY",40.744851000000004,-74.0009346,"(-74.000934599999994, 40.744851000000004)"
89,"345 WEST 21ST STREET, New York, NY",40.74498679999999,-74.0013478,"(-74.001347800000005, 40.744986799999992)"
90,"331 WEST 21ST STREET, New York, NY",40.7449086,-74.0007969,"(-74.000796899999997, 40.744908600000002)"
91,"354 WEST 23RD STREET, New York, NY",40.7460162,-74.0007045,"(-74.000704499999998, 40.7460162)"
92,"356 WEST 23RD STREET, New York, NY",40.7460292,-74.0007964,"(-74.000796399999999, 40.746029200000002)"
93,"347 WEST 22ND STREET, New York, NY",40.745619,-74.00073,"(-74.000730000000004, 40.745618999999998)"
94,"353 WEST 29TH STREET, New York, NY",40.7501072,-73.99788290000001,"(-73.997882900000008, 40.750107200000002)"
95,"228 WEST 16TH STREET, New York, NY",40.7402827,-74.00029570000001,"(-74.000295700000009, 40.740282700000002)"
96,"234 WEST 16TH STREET, New York, NY",40.7403924,-74.0005252,"(-74.000525199999998, 40.740392399999998)"
97,"214 WEST 16TH STREET, New York, NY",40.7400822,-73.9996988,"(-73.999698800000004, 40.740082200000003)"
98,"229 WEST 16, New York, NY",40.740512100000004,-73.9999377,"(-73.999937700000004, 40.740512100000004)"
99,"227 WEST 16TH STREET, New York, NY",40.7405586,-73.9997921,"(-73.999792099999993, 40.7405586)"
100,"231 WEST 16TH STREET, New York, NY",40.740630700000004,-73.9999027,"(-73.999902700000007, 40.740630700000004)"
101,"261 WEST 22ND STREET, New York, NY",40.744384100000005,-73.9979059,"(-73.997905900000006, 40.744384100000005)"
102,"136 WEST 16TH STREET, New York, NY",40.7391957,-73.9976554,"(-73.997655399999999, 40.739195700000003)"
103,"434 WEST 20TH STREET, New York, NY",40.745118299999994,-74.00445129999999,"(-74.004451299999985, 40.745118299999994)"
104,"427 WEST 21ST STREET, New York, NY",40.745928,-74.003339,"(-74.003338999999997, 40.745927999999999)"
105,"451 WEST 22ND STREET, New York, NY",40.746712200000005,-74.0033373,"(-74.003337299999998, 40.746712200000005)"
106,"453 WEST 22 STREET, New York, NY",40.7467169,-74.003302,"(-74.003302000000005, 40.746716900000003)"
107,"456 WEST 23RD STREET, New York, NY",40.747226700000006,-74.0036195,"(-74.003619499999999, 40.747226700000006)"
108,"453 WEST 22ND STREET, New York, NY",40.7467169,-74.003302,"(-74.003302000000005, 40.746716900000003)"
109,"467 WEST 22ND STREET, New York, NY",40.746859,-74.003637,"(-74.003636999999998, 40.746859000000001)"
110,"444 WEST 23RD STREET, New York, NY",40.746975,-74.00319,"(-74.003190000000004, 40.746974999999999)"
111,"434 WEST 23RD STREET, New York, NY",40.746811,-74.002797,"(-74.002797000000001, 40.746811000000001)"
112,"430 WEST 23RD STREET, New York, NY",40.746823799999994,-74.0026913,"(-74.002691299999995, 40.746823799999994)"
113,"475 WEST 22ND STREET, New York, NY",40.746947,-74.00385,"(-74.00385, 40.746946999999999)"
114,"419 WEST 22ND STREET, New York, NY",40.746303000000005,-74.002315,"(-74.002314999999996, 40.746303000000005)"
115,"442 WEST 23RD STREET, New York, NY",40.746942,-74.003112,"(-74.003112000000002, 40.746941999999997)"
116,"471 WEST 22ND STREET, New York, NY",40.746906,-74.003742,"(-74.003742000000003, 40.746906000000003)"
117,"443 WEST 24TH STREET, New York, NY",40.748124,-74.002549,"(-74.002549000000002, 40.748123999999997)"
118,"318 WEST 15TH STREET, New York, NY",40.74067410000001,-74.0030502,"(-74.003050200000004, 40.740674100000007)"
119,"314 WEST 19TH STREET, New York, NY",40.743002399999995,-74.001175,"(-74.001175000000003, 40.743002399999995)"
120,"332 WEST 19TH STREET, New York, NY",40.743243,-74.001791,"(-74.001790999999997, 40.743243)"
121,"365 WEST 19TH STREET, New York, NY",40.7439294,-74.0026407,"(-74.002640700000001, 40.743929399999999)"
122,"311 WEST 20TH STREET, New York, NY",40.74384860000001,-74.00054240000001,"(-74.000542400000015, 40.743848600000007)"
123,"361 WEST 21ST STREET, New York, NY",40.7451833,-74.0019387,"(-74.001938699999997, 40.745183300000001)"
124,"345 WEST 29TH, New York, NY",40.750063,-73.99754899999999,"(-73.997548999999992, 40.750062999999997)"
125,"221 WEST 20TH STREET, New York, NY",40.7428081,-73.99795329999999,"(-73.997953299999992, 40.742808099999998)"
126,"260 WEST 22ND STREET, New York, NY",40.744206299999995,-73.9983947,"(-73.998394700000006, 40.744206299999995)"
127,"259 WEST 21ST STREET, New York, NY",40.743885799999994,-73.9988395,"(-73.998839500000003, 40.743885799999994)"
128,"245 WEST 24TH STREET, New York, NY",40.7456972,-73.9969054,"(-73.996905400000003, 40.745697200000002)"
129,"146 WEST 16TH STREET, New York, NY",40.7393912,-73.9978553,"(-73.997855299999998, 40.7393912)"
130,"127 WEST 15TH, New York, NY",40.7386971,-73.99738470000001,"(-73.997384700000012, 40.738697100000003)"
131,"127 WEST 15TH STREET, New York, NY",40.7386971,-73.99738470000001,"(-73.997384700000012, 40.738697100000003)"
132,"520 WEST 23RD STREET, New York, NY",40.7478445,-74.00503940000002,"(-74.005039400000015, 40.747844499999999)"
133,"520 WEST 23RD, New York, NY",40.7478445,-74.00503940000002,"(-74.005039400000015, 40.747844499999999)"
134,"410 WEST 23RD STREET, New York, NY",40.7464815,-74.00187199999999,"(-74.001871999999992, 40.746481500000002)"
135,"429 WEST 24TH STREET, New York, NY",40.74791,-74.00204699999999,"(-74.00204699999999, 40.747909999999997)"
136,"331 WEST 14TH STREET, New York, NY",40.7406762,-74.0038726,"(-74.003872599999994, 40.740676200000003)"
137,"325 WEST 16TH STREET, New York, NY",40.7417056,-74.0026069,"(-74.002606900000004, 40.741705600000003)"
138,"319 WEST 18TH STREET, New York, NY",40.74286970000001,-74.00166850000001,"(-74.001668500000008, 40.742869700000007)"
139,"320 WEST 19TH STREET, New York, NY",40.743100899999995,-74.0013931,"(-74.001393100000001, 40.743100899999995)"
140,"365 WEST 20TH STREET, New York, NY",40.744583899999995,-74.0023215,"(-74.002321499999994, 40.744583899999995)"
141,"333 WEST 22ND STREET, New York, NY",40.7454896,-74.00032579999998,"(-74.000325799999985, 40.745489599999999)"
142,"315 WEST 23RD STREET, New York, NY",40.745830299999994,-73.99914179999999,"(-73.99914179999999, 40.745830299999994)"
143,"250 WEST 15TH STREET, New York, NY",40.7399396,-74.0013004,"(-74.001300400000005, 40.7399396)"
144,"250 WEST 15TH, New York, NY",40.7399396,-74.0013004,"(-74.001300400000005, 40.7399396)"
145,"250 WEST 16TH STREET, New York, NY",40.7406643,-74.00107750000001,"(-74.001077500000008, 40.740664299999999)"
146,"201 WEST 16TH STREET, New York, NY",40.7401582,-73.9988739,"(-73.998873900000007, 40.740158200000003)"
147,"253 WEST 16TH, New York, NY",40.7409109,-74.0007791,"(-74.000779100000003, 40.740910900000003)"
148,"253 WEST 16TH STREET, New York, NY",40.7409109,-74.0007791,"(-74.000779100000003, 40.740910900000003)"
149,"234 WEST 21ST STREET, New York, NY",40.743326399999994,-73.9982058,"(-73.998205799999994, 40.743326399999994)"
150,"221 WEST 21 STREET, New York, NY",40.7434377,-73.99753390000001,"(-73.997533900000008, 40.743437700000001)"
151,"201 WEST 21ST STREET, New York, NY",40.743139500000005,-73.9969043,"(-73.996904299999997, 40.743139500000005)"
152,"221 WEST 21ST STREET, New York, NY",40.7434377,-73.99753390000001,"(-73.997533900000008, 40.743437700000001)"
153,"233 WEST 21 STREET, New York, NY",40.743625099999996,-73.99803890000001,"(-73.998038900000012, 40.743625099999996)"
154,"201 WEST 21ST, New York, NY",40.743139500000005,-73.9969043,"(-73.996904299999997, 40.743139500000005)"
155,"250 WEST 22ND STREET, New York, NY",40.744049700000005,-73.99803890000001,"(-73.998038900000012, 40.744049700000005)"
156,"223 WEST 21ST STREET, New York, NY",40.743547,-73.99775,"(-73.997749999999996, 40.743547)"
157,"250 WEST 24TH STREET, New York, NY",40.7454083,-73.9971015,"(-73.997101499999999, 40.745408300000001)"
158,"255 WEST 23RD STREET, New York, NY",40.745005,-73.997338,"(-73.997337999999999, 40.745004999999999)"
159,"250 WEST 27TH STREET, New York, NY",40.7474791,-73.9961043,"(-73.996104299999999, 40.7474791)"
160,"233 WEST 26TH STREET, New York, NY",40.7468534,-73.99574859999998,"(-73.995748599999985, 40.746853399999999)"
161,"100 WEST 15TH STREET, New York, NY",40.7381186,-73.9969064,"(-73.9969064, 40.7381186)"
162,"77 7TH AVENUE, New York, NY",40.7387517,-73.9990764,"(-73.999076400000007, 40.738751700000002)"
163,"77 SEVENTH AVE, New York, NY",40.7387517,-73.9990764,"(-73.999076400000007, 40.738751700000002)"
164,"77 SEVENTH AVENUE, New York, NY",40.7387517,-73.9990764,"(-73.999076400000007, 40.738751700000002)"
165,"130 WEST 16TH STREET, New York, NY",40.7391782,-73.9974421,"(-73.997442100000001, 40.739178199999998)"
166,"161 WEST 15TH STREET, New York, NY",40.739337899999995,-73.9987046,"(-73.998704599999996, 40.739337899999995)"
