StreetNum,StreetName,AptNum,ZipCode,Beds,Baths
200,WEST 20TH STREET ,1512,10011,0,1
252,7TH AVENUE ,3I,10001,3,3
77,7TH AVENUE ,5J,10011,1,1
252,7TH AVENUE ,8H,10001,3,3
300,WEST 23RD STREET ,16N,10011,0,1
224,WEST 18TH STREET  PENTHOUSE,B,10011,3,3
278,WEST 25TH STREET,,10001,5,4
124,WEST 23RD STREET ,8A,10011,2,2
357,WEST 29TH STREET ,2B,10001,2,2
300,WEST 23RD STREET ,15K,10011,1,1
203,WEST 22ND STREET,,10011,5,5
320,WEST 17TH STREET ,PH2,10011,1,1
201,WEST 21ST STREET ,4B,10011,0,1
165,WEST 20TH STREET ,2A,10011,0,1
116,WEST 29TH STREET ,6C,10001,3,3
309,WEST 20TH STREET ,2R,10011,2,2
344,WEST 23RD STREET ,3A,10011,2,2
360,WEST 22ND STREET ,6A,10011,1,1
131,WEST 28TH STREET ,7A,10001,1,1
345,WEST 14TH STREET ,5A,10014,2,2
130,WEST 20TH STREET ,6D,10011,1,1
101,WEST 24TH STREET ,PH1C,10011,3,3
154,WEST 18TH STREET ,6A,10011,1,1
310,EAST 23RD STREET ,6H,10010,0,1
155,WEST 20TH STREET ,2C,10011,0,1
315,WEST 23RD STREET ,12A,10011,2,1
151,WEST 21ST STREET ,3B,10011,2,2
315,WEST 23RD STREET ,4A,10011,2,1
254,WEST 25TH STREET ,4D,10001,1,1
200,WEST 20TH STREET ,816,10011,0,1
112,WEST 18TH STREET ,2C,10011,1,2
214,WEST 16TH STREET ,4S,10011,1,1
260,WEST 22ND STREET ,2,10011,3,2
357,WEST 30TH STREET ,3,10001,1,1
100,WEST 18TH STREET ,9D,10011,2,3
170,WEST 23RD STREET ,4D,10011,1,1
140,WEST 22ND STREET ,6A,10011,1,2
212,WEST 18TH STREET ,11CD,10011,4,5
151,WEST 21ST STREET ,4C,10011,1,1
133,WEST 22ND STREET ,GARDEN,10011,3,3
133,WEST 22ND STREET ,9B,10011,2,2
250,WEST 16TH STREET,,10011,2,1
100,WEST 18TH STREET,,10011,1,1
210,WEST 19TH STREET ,2B,10011,1,1
217,WEST 14TH STREET ,PHR,10011,2,2
151,WEST 28TH STREET  ROOM,8W,10001,3,2
130,WEST 30TH STREET ,12B,10001,0,3
252,7TH AVENUE ,14I,10001,2,3
200,WEST 20TH STREET ,602,10011,0,1
315,7TH AVENUE ,20C,10001,0,1
