Inc_ID,Year,Neighborhood,BuildingCategoryNum,BuildingCategoryDes,TaxClassAtPresent,Block,Lot,BuildingClassAtPresent,StreetNum,StreetName,AptNum,ZipCode,ResidentialUnits,CommercialUnits,TotalUnits,LandSquareFeet,GrossSquareFeet,YearBuilt,TaxClassAtTimeOfSale,BuildingClassAtTimeOfSale,SalePrice,SaleDate,Beds,Baths,StreetAddress,GeoCode,LEASED
5049,2019,MANHATTAN VALLEY,10,COOPS - ELEVATOR APARTMENTS,2,1837,29,D4,415,CENTRAL PARK WEST,2E,10025,0,0,0,0,0,1926,2,D4,1837500,11/15/2018,3,3,415 CENTRAL PARK WEST,"(-73.96237049999999, 40.795146100000004)",0
5905,2018,UPPER EAST SIDE (59-79),10,COOPS - ELEVATOR APARTMENTS,2,1446,23,D4,360,EAST 72ND STREET,A1110,10021,0,0,0,0,0,1963,2,D4,1836000,6/26/2018,3,2,360 EAST 72ND STREET,"(-73.956509, 40.767784000000006)",0
2401,2017,CHELSEA,9,COOPS - WALKUP APARTMENTS        ,2C,717,61,C6,434,WEST 20TH STREET,8,10011,0,0,0,0,0,1920,2,C6,1835000,6/6/2017,2,2,434 WEST 20TH STREET,"(-74.00445129999999, 40.745118299999994)",0
9622,2019,UPPER EAST SIDE (79-96),10,COOPS - ELEVATOR APARTMENTS,2,1580,23,D4,80,EAST END AVENUE,4FG,10028,0,0,0,0,0,1958,2,D4,1835000,01/04/2019,3,3,80 EAST END AVENUE,"(-73.9462962, 40.7731393)",0
2037,2016,SOUTHBRIDGE              ,13,CONDOS - ELEVATOR APARTMENTS      ,  ,90,1207,  ,5,BEEKMAN STREET,House,10038,0,0,0,0,0,0,2,R4,1832850,9/14/2016,3,5,5 BEEKMAN STREET,"(-74.0068449, 40.7112749)",0
2038,2016,SOUTHBRIDGE              ,13,CONDOS - ELEVATOR APARTMENTS      ,  ,90,1207,  ,5,BEEKMAN STREET,House,10038,0,0,0,0,0,0,2,R4,1832850,9/14/2016,3,4,5 BEEKMAN STREET,"(-74.0068449, 40.7112749)",0
2730,2018,LOWER EAST SIDE,13,CONDOS - ELEVATOR APARTMENTS,2,353,1412,R4,100,NORFOLK STREET,House,10002,1,0,1,3592,1097,2014,2,R4,1832850,7/11/2018,4,4,100 NORFOLK STREET,"(-73.98700129999999, 40.7186333)",0
10097,2019,UPPER WEST SIDE (79-96),10,COOPS - ELEVATOR APARTMENTS,2,1210,5,D4,171,WEST 79TH STREET,52,10024,0,0,0,0,0,1924,2,D4,1832850,05/31/2019,3,2,171 WEST 79TH STREET,"(-73.9775392, 40.7830667)",0
9776,2019,UPPER EAST SIDE (79-96),15,CONDOS - 2-10 UNIT RESIDENTIAL,2C,1493,1158,R1,23,EAST 81ST STREET,10,10028,0,0,0,0,833,1939,2,R1,1831000,07/31/2019,2,1,23 EAST 81ST STREET,"(-73.96150290000001, 40.778000799999994)",0
380,2018,GRAMERCY,13,CONDOS - ELEVATOR APARTMENTS,2,898,1144,R4,305,2ND AVENUE,House,10003,1,0,1,0,873,0,2,R4,1830000,7/18/2018,1,2,305 2ND AVENUE,"(-73.98345079999999, 40.73473370000001)",0
