Address,latitude,longitude
"229 WEST 16, New York, NY",40.7405121,-73.9999377
"227 WEST 16TH STREET, New York, NY",40.7405586,-73.9997921
"231 WEST 16TH STREET, New York, NY",40.7406307,-73.9999027
"261 WEST 22ND STREET, New York, NY",40.7443841,-73.9979059
"136 WEST 16TH STREET, New York, NY",40.7391957,-73.9976554
"434 WEST 20TH STREET, New York, NY",40.7451183,-74.0044513
"427 WEST 21ST STREET, New York, NY",40.745928,-74.003339
"451 WEST 22ND STREET, New York, NY",40.7467122,-74.0033373
"453 WEST 22 STREET, New York, NY",40.7467169,-74.003302
"456 WEST 23RD STREET, New York, NY",40.7472267,-74.0036195
"453 WEST 22ND STREET, New York, NY",40.7467169,-74.003302
"467 WEST 22ND STREET, New York, NY",40.746859,-74.003637
"444 WEST 23RD STREET, New York, NY",40.746975,-74.00319
"434 WEST 23RD STREET, New York, NY",40.746811,-74.002797
"430 WEST 23RD STREET, New York, NY",40.7468238,-74.0026913
"475 WEST 22ND STREET, New York, NY",40.746947,-74.00385
"419 WEST 22ND STREET, New York, NY",40.746303,-74.002315
"442 WEST 23RD STREET, New York, NY",40.746942,-74.003112
"471 WEST 22ND STREET, New York, NY",40.746906,-74.003742
"443 WEST 24TH STREET, New York, NY",40.748124,-74.002549
"318 WEST 15TH STREET, New York, NY",40.7406741,-74.0030502
"314 WEST 19TH STREET, New York, NY",40.7430024,-74.001175
"332 WEST 19TH STREET, New York, NY",40.743243,-74.001791
"365 WEST 19TH STREET, New York, NY",40.7439294,-74.0026407
"311 WEST 20TH STREET, New York, NY",40.7438486,-74.0005424
"361 WEST 21ST STREET, New York, NY",40.7451833,-74.0019387
"345 WEST 29TH, New York, NY",40.750063,-73.997549
"221 WEST 20TH STREET, New York, NY",40.7428081,-73.9979533
"260 WEST 22ND STREET, New York, NY",40.7442063,-73.9983947
"259 WEST 21ST STREET, New York, NY",40.7438858,-73.9988395
"245 WEST 24TH STREET, New York, NY",40.7456972,-73.9969054
"146 WEST 16TH STREET, New York, NY",40.7393912,-73.9978553
"127 WEST 15TH, New York, NY",40.7386971,-73.9973847
"127 WEST 15TH STREET, New York, NY",40.7386971,-73.9973847
"520 WEST 23RD STREET, New York, NY",40.7478445,-74.0050394
"520 WEST 23RD, New York, NY",40.7478445,-74.0050394
"410 WEST 23RD STREET, New York, NY",40.7464815,-74.001872
"429 WEST 24TH STREET, New York, NY",40.74791,-74.002047
"331 WEST 14TH STREET, New York, NY",40.7406762,-74.0038726
"325 WEST 16TH STREET, New York, NY",40.7417056,-74.0026069
"319 WEST 18TH STREET, New York, NY",40.7428697,-74.0016685
"320 WEST 19TH STREET, New York, NY",40.7431009,-74.0013931
"365 WEST 20TH STREET, New York, NY",40.7445839,-74.0023215
"333 WEST 22ND STREET, New York, NY",40.7454896,-74.0003258
"315 WEST 23RD STREET, New York, NY",40.7458303,-73.9991418
"250 WEST 15TH STREET, New York, NY",40.7399396,-74.0013004
"250 WEST 15TH, New York, NY",40.7399396,-74.0013004
"250 WEST 16TH STREET, New York, NY",40.7406643,-74.0010775
"201 WEST 16TH STREET, New York, NY",40.7401582,-73.9988739
"253 WEST 16TH, New York, NY",40.7409109,-74.0007791
"253 WEST 16TH STREET, New York, NY",40.7409109,-74.0007791
"234 WEST 21ST STREET, New York, NY",40.7433264,-73.9982058
"221 WEST 21 STREET, New York, NY",40.7434377,-73.9975339
"201 WEST 21ST STREET, New York, NY",40.7431395,-73.9969043
"221 WEST 21ST STREET, New York, NY",40.7434377,-73.9975339
"233 WEST 21 STREET, New York, NY",40.7436251,-73.9980389
"201 WEST 21ST, New York, NY",40.7431395,-73.9969043
"250 WEST 22ND STREET, New York, NY",40.7440497,-73.9980389
"223 WEST 21ST STREET, New York, NY",40.743547,-73.99775
"250 WEST 24TH STREET, New York, NY",40.7454083,-73.9971015
"255 WEST 23RD STREET, New York, NY",40.745005,-73.997338
"250 WEST 27TH STREET, New York, NY",40.7474791,-73.9961043
"233 WEST 26TH STREET, New York, NY",40.7468534,-73.9957486
"100 WEST 15TH STREET, New York, NY",40.7381186,-73.9969064
"77 7TH AVENUE, New York, NY",40.7387517,-73.9990764
"77 SEVENTH AVE, New York, NY",40.7387517,-73.9990764
"77 SEVENTH AVENUE, New York, NY",40.7387517,-73.9990764
"130 WEST 16TH STREET, New York, NY",40.7391782,-73.9974421
"161 WEST 15TH STREET, New York, NY",40.7393379,-73.9987046
"147 WEST 15TH STREET, New York, NY",40.7390377,-73.9980848
"155 WEST 15TH STREET, New York, NY",40.7390863,-73.9982914
"575 6TH AVENUE, New York, NY",40.7389346,-73.9960954
"121 WEST 17TH STREET, New York, NY",40.7399003,-73.9963706
"154 WEST 18TH STREET, New York, NY",40.7404842,-73.9973577
"135 WEST 17TH STREET, New York, NY",40.7401062,-73.9968943
"165 WEST 20TH STREET, New York, NY",40.7422218,-73.9964555
"143 WEST 20TH STREET, New York, NY",40.7420063,-73.9958423
"166 WEST 22ND STREET, New York, NY",40.7431417,-73.9958198
"166 WEST 22 STREET, New York, NY",40.7431417,-73.9958198
"148 WEST 23RD STREET, New York, NY",40.7434816,-73.9949859
"107 WEST 25TH STREET, New York, NY",40.7445359,-73.9922768
"143 WEST 27TH STREET, New York, NY",40.7463751,-73.9926272
"146 WEST 28TH STREET, New York, NY",40.746675,-73.992627
"368 WEST 23RD STREET, New York, NY",40.7462101,-74.0012555
"143 WEST 21ST STREET, New York, NY",40.7424604,-73.9953033
"136 WEST 24 STREET, New York, NY",40.7441206,-73.994024
"141 WEST 26TH STREET, New York, NY",40.7457047,-73.9929052
"500 WEST 30TH STREET, New York, NY",40.75211,-74.0016497
"223 WEST 14 STREET, New York, NY",40.7392204,-74.0006009
"219 WEST 14 STREET, New York, NY",40.7391606,-74.0004371
"520 WEST 19TH STREET, New York, NY",40.7455766,-74.0070157
"100 11TH AVENUE, New York, NY",40.7460874,-74.0076191
"505 WEST 19TH STREET, New York, NY",40.7455331,-74.0061877
"120 11TH AVENUE, New York, NY",40.7469281,-74.007586
"525 WEST 22ND STREET, New York, NY",40.7476234,-74.0057263
"555 WEST 23RD STREET, New York, NY",40.748696,-74.006062
"555 WEST 23, New York, NY",40.748696,-74.006062
"231 10TH AVENUE, New York, NY",40.7482485,-74.0040812
"515 WEST 23RD STREET, New York, NY",40.7482259,-74.0046431
"200 11TH AVENUE, New York, NY",40.749334,-74.006323
"508 WEST 24TH STREET, New York, NY",40.748487,-74.004583
"540 WEST 28TH STREET, New York, NY",40.7514683,-74.0037858
"450 WEST 17TH STREET, New York, NY",40.743531,-74.006746
"450 WEST 17TH, New York, NY",40.743531,-74.006746
"456 WEST 19TH STREET, New York, NY",40.7449787,-74.0057313
"444 WEST 19TH STREET, New York, NY",40.7446465,-74.0049711
"447 WEST 18TH STREET, New York, NY",40.7445286,-74.0056368
"459 WEST 18TH STREET, New York, NY",40.744598,-74.005786
"445 WEST 19TH STREET, New York, NY",40.745085,-74.004852
"422 WEST 20TH STREET, New York, NY",40.744918,-74.0040269
"455 WEST 20TH STREET, New York, NY",40.7455905,-74.0043325
"468 WEST 23RD STREET, New York, NY",40.747393,-74.0040441
"420 WEST 23RD STREET, New York, NY",40.7467155,-74.0024044
"420 WEST 25TH STREET, New York, NY",40.7479718,-74.0016056
"263 9 AVENUE, New York, NY",40.7483434,-74.0004115
"263 NINTH AVENUE, New York, NY",40.7483434,-74.0004115
"345 WEST 14TH STREET, New York, NY",40.7408927,-74.0044465
"66 9 AVENUE, New York, NY",40.7412822,-74.0046072
"305 WEST 18TH STREET, New York, NY",40.7426858,-74.0013242
